compound_id,name,smiles,source_species,country,target_organism,bioactivity,label_antibacterial,compound_class,ailment_treated,source_db,reference,activity_type,activity_value,mic_value,log_mic,molecular_weight,xlogp,h_bond_donors,h_bond_acceptors,rotatable_bonds,tpsa,num_atoms,num_rings
Mol_01723,artemidinal,O=Cc1cc2ccccc2c(=O)o1,Artemisia campestris,Africa,multiple,antibacterial,1,coumarin,,ANPDB,10.1016/j.bse.2006.07.002,class_inference,,,,174.15,1.61,0,3,1,47.28,13,2
Mol_01725,"14-hydroxy-2-oxoguaia-1(10),3-dien-5alpha,11betaH-12,6alpha-olide",OCC1=C2C(=O)C=C([C@@H]2[C@@H]2[C@@H](CC1)[C@H](C)C(=O)O2)C,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,262.3,1.39,1,4,1,63.6,19,3
Mol_01726,achillin,C[C@H]1C(=O)O[C@H]2[C@H]1CCC(=C1[C@@H]2C(=CC1=O)C)C,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,246.31,2.42,0,3,0,43.37,18,3
Mol_01727,"14-hydroxy-2-oxoguaia-1(10),3-dien-5alpha,11alphaH-12,6alpha-olide",OCC1=C2C(=O)C=C([C@@H]2[C@@H]2[C@@H](CC1)[C@@H](C)C(=O)O2)C,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,262.3,1.39,1,4,1,63.6,19,3
Mol_01728,"2,14-dioxoguaia-3-en-1alpha,5alpha,10beta,11betaH-12,6alpha-olide",O=C[C@@H]1CC[C@@H]2[C@@H]([C@@H]3[C@H]1C(=O)C=C3C)OC(=O)[C@H]2C,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,262.3,1.53,0,4,1,60.44,19,3
Mol_01729,"2,14-dioxoguaia-3-en-1alpha,5alpha,10alpha,11betaH-12,6alpha-olide",O=C[C@H]1CC[C@@H]2[C@@H]([C@@H]3[C@H]1C(=O)C=C3C)OC(=O)[C@H]2C,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,262.3,1.53,0,4,1,60.44,19,3
Mol_01730,"13-hydroxy-3-oxogermacra-1(10),7(12)-6alpha,12-olide",OCC1=C2CC/C(=C/CC(=O)[C@@H](C[C@H]2OC1=O)C)/C,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,264.32,1.93,1,4,1,63.6,19,2
Mol_01731,yomogin,C=C1C(=O)O[C@H]2[C@@H]1CC1=C(C)C(=O)C=C[C@@]1(C2)C,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,244.29,2.34,0,3,0,43.37,18,3
Mol_01732,"(3aR,9aR)-3a,4,9,9a-tetrahydro-5,8-dimethyl-3-methylenenaphtho[2,3-b]furan-2(3H)-one",C=C1C(=O)O[C@H]2[C@@H]1Cc1c(C)ccc(c1C2)C,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,228.29,2.5,0,2,0,26.3,17,3
Mol_01733,"(1R,5R,9R)-9-(1-hydroxyprop-2-en-2-yl)-2,6-dimethylenecyclodecane-1,5-diol",OCC(=C)[C@@H]1CCC(=C)[C@H](O)CCC(=C)[C@@H](C1)O,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,252.35,1.95,3,3,2,60.69,18,1
Mol_01734,repthienynol,O[C@@H]1CCCO[C@H]1/C=C/C#Cc1cccs1,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,234.32,2.2,1,3,1,29.46,16,2
Mol_01735,"(2E,5R,8S)-2-(penta-2,4-diyn-1-ylidene)-1,6-dioxaspiro[4.5]dec-3-en-8-yl acetate",CC#CC#C/C=C/1\C=C[C@]2(O1)CC[C@@H](CO2)OC(=O)C,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,272.3,1.92,0,4,1,44.76,20,2
Mol_01736,"(2E)-2-[(thiophen-2-yl)methylidene]-1,6-dioxaspiro[4.5]dec-3-ene",C1CCC2(OC1)C=C/C(=C\c1cccs1)/O2,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,234.32,3.57,0,3,1,18.46,16,3
Mol_01737,"(6S,7S,10R)-7,10-epoxy-3-hydroxy-2,6,10-trimethyl- dodeca-1,3,11-trien-5-one",C=C[C@@]1(C)CC[C@H](O1)[C@@H](C(=O)/C=C(/C(=C)C)\O)C,Artemisia reptans,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/S0031-9422(00)89536-9,class_inference,,,,250.34,3.33,1,3,5,46.53,18,1
Mol_01742,scoparon,COc1cc2oc(=O)ccc2cc1OC,Artemisia reptans,Africa,multiple,antibacterial,1,coumarin,,ANPDB,PMID:20413315,class_inference,,,,206.2,1.81,0,4,2,48.67,15,2
Mol_01743,isofraxidin,COc1c(O)c(OC)cc2c1oc(=O)cc2,Artemisia arborescens,Africa,multiple,antibacterial,1,coumarin,,ANPDB,10.1016/S0031-9422(00)89536-9 || 10.1016/S0031-9422(96)00720-0,class_inference,,,,222.2,1.52,1,5,2,68.9,16,2
Mol_01744,chrysosplenol D,COc1c(oc2c(c1=O)c(O)c(c(c2)OC)OC)c1ccc(c(c1)O)O,Artemisia reptans,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/0031-9422(89)80084-6 || 10.1016/S0031-9422(00)89536-9 || 10.1021/np50051a037 || http://www.acgpubs.org/RNP/2015/Volume9/Issue%201/39-RNP-1404-064.pdf,class_inference,,,,360.32,2.6,3,8,4,118.59,26,3
Mol_01746,hispidulin,COc1c(O)cc2c(c1O)c(=O)cc(o2)c1ccc(cc1)O,Anvillea radiata,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:11677033,class_inference,,,,300.27,2.59,3,6,2,100.13,22,3
Mol_01759,"3-methyl-3-phenyl-1,4-pentadiyne",C#CC(c1ccccc1)(C#C)C,Artemisia monosperma,Africa,multiple,unverified,0,alkyne,,ANPDB,10.1016/0305-1978(85)90037-7 || 10.1016/S0031-9422(00)84082-0,class_inference,,,,154.21,2.21,0,0,1,0.0,12,1
Mol_01780,7-methyl-6-methoxytricin,COc1cc2oc(cc(=O)c2c(c1OC)O)c1cc(OC)c(c(c1)OC)O,Artemisia mesatlantica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/0031-9422(82)83200-7,class_inference,,,,374.35,2.91,2,8,5,107.59,27,3
Mol_01785,"5-hydroxy-6,7,3',4'-tetramethoxyflavone",COc1ccc(cc1OC)c1cc(=O)c2c(o1)cc(c(c2O)OC)OC,Artemisia mesatlantica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:28167052,class_inference,,,,358.35,3.2,1,7,5,87.36,26,3
Mol_01787,artesin,O=C1O[C@H]2[C@H]([C@@H]1C)CC[C@@]1(C2=C(C)CC[C@H]1O)C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,250.34,2.44,1,3,0,46.53,18,3
Mol_01788,alpha-santonin,C[C@@H]1C(=O)O[C@H]2[C@H]1CC[C@@]1(C2=C(C)C(=O)C=C1)C,Artemisia herba-alba,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6 || 10.1016/0031-9422(96)00199-9,class_inference,,,,246.31,2.42,0,3,0,43.37,18,3
Mol_01789,taurin,C[C@@H]1C(=O)O[C@H]2[C@H]1CC[C@@]1(C2=C(C)CCC1=O)C,Artemisia herba-alba,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6 || 10.1016/0031-9422(96)00199-9,class_inference,,,,248.32,2.64,0,3,0,43.37,18,3
Mol_01791,"1alpha-hydoxyeudesm-4(15)-en-5alpha,6beta,11betaH-12,6-olide",C=C1CC[C@@H]([C@]2([C@H]1[C@H]1OC(=O)[C@H]([C@@H]1CC2)C)C)O,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,250.34,2.29,1,3,0,46.53,18,3
Mol_01792,"1alpha-acetoxyeudesm-4(15)-en-5alpha,6beta,11betaH-12,6-olide",CC(=O)O[C@H]1CCC(=C)[C@H]2[C@@]1(C)CC[C@@H]1[C@@H]2OC(=O)[C@H]1C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,292.38,2.86,0,4,1,52.6,21,3
Mol_01793,"1alpha-acetoxyeudesm-4-en-6beta,11betaH-12,6-olide",CC(=O)O[C@H]1CCC(=C2[C@@]1(C)CC[C@@H]1[C@@H]2OC(=O)[C@H]1C)C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,292.38,3.01,0,4,1,52.6,21,3
Mol_01794,"1beta,5beta-dihydroxyeudesm-4(15)-en-6beta,11betaH-12,6-olide",O=C1O[C@H]2[C@H]([C@@H]1C)CC[C@@]1([C@@]2(O)C(=C)CC[C@H]1O)C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,266.34,1.41,2,4,0,66.76,19,3
Mol_01795,"1alpha,5beta-dihydroxyeudesm-4(15)-en-6beta,11betaH-12,6-olide",O=C1O[C@H]2[C@H]([C@@H]1C)CC[C@@]1([C@@]2(O)C(=C)CC[C@@H]1O)C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,266.34,1.41,2,4,0,66.76,19,3
Mol_01796,"1alpha-acetoxy-5alpha-hydroxyeudesm-4(15)-en-6beta,11betaH-12,6-olide",CC(=O)O[C@H]1CCC(=C)[C@]2([C@@]1(C)CC[C@@H]1[C@@H]2OC(=O)[C@H]1C)O,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,308.37,1.98,1,5,1,72.83,22,3
Mol_01797,"1alpha-acetoxy-5beta-hydroxyeudesm-4(15)-en-6beta,11betaH-12,6-olide",CC(=O)OC1CCC(=C)[C@@]2([C@@]1(C)CC[C@@H]1[C@@H]2OC(=O)[C@H]1C)O,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,308.37,1.98,1,5,1,72.83,22,3
Mol_01798,"1alpha,5beta-dihydroxyeudesm-3-en-6beta,11betaH-12,6-olide",O=C1O[C@H]2[C@H]([C@@H]1C)CC[C@@]1([C@@]2(O)C(=CC[C@@H]1O)C)C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,266.34,1.41,2,4,0,66.76,19,3
Mol_01799,"1alpha-acetoxy-5beta-hydroxyeudesm-3-en-6beta,11betaH-12,6-olide",CC(=O)O[C@H]1CC=C([C@@]2([C@@]1(C)CC[C@@H]1[C@@H]2OC(=O)[C@H]1C)O)C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,308.37,1.98,1,5,1,72.83,22,3
Mol_01800,"1alpha-acetoxy-3beta-hydroxyeudesm-3-en-6beta,11betaH-12,6-olide",CC(=O)O[C@H]1C[C@H](O)C(=C2[C@@]1(C)CC[C@@H]1[C@@H]2OC(=O)[C@H]1C)C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,308.37,1.98,1,5,1,72.83,22,3
Mol_01801,"1alpha,3beta-diacetoxyeudesm-4-en-6beta,11betaH-12,6-olide",CC(=O)O[C@H]1C[C@H](OC(=O)C)[C@]2(C(=C1C)[C@H]1OC(=O)[C@H]([C@@H]1CC2)C)C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,350.41,2.55,0,6,2,78.9,25,3
Mol_01802,"1alpha-acetoxy-5beta,8alpha-dihydroxyeudesm-4(15)-en-6beta,11betaH-12,6-olide",CC(=O)O[C@H]1CCC(=C)[C@@]2([C@@]1(C)C[C@H](O)[C@@H]1[C@@H]2OC(=O)[C@H]1C)O,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,324.37,0.95,2,6,1,93.06,23,3
Mol_01803,"(E)-1,10-secoeudesma-3,5(10)-dien-6beta,11betaH-12,6-olide-1-oic acid",OC(=O)C/C=C(/C1=C(C)CC[C@@H]2[C@@H]1OC(=O)[C@H]2C)\C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,264.32,2.7,1,3,3,63.6,19,2
Mol_01804,"(1R,2S,5S,6S,9S,10R)-5,9,10-trimethyl-3-oxatetracyclo[7.4.0.01,10.02,6]tridec-12-ene-4,11-dione",C[C@@H]1C(=O)O[C@H]2[C@H]1CC[C@]1([C@]32C=CC(=O)[C@]13C)C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,246.31,2.11,0,3,0,43.37,18,4
Mol_01805,"4-[(3S,3aS,6R,6aS)-3,6-dimethyl-2-oxo-hexahydro-2H-cyclopenta[b]furan-6-carbonyl]pent-4-enoic acid",OC(=O)CCC(=C)C(=O)[C@]1(C)CC[C@@H]2[C@@H]1OC(=O)[C@H]2C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,280.32,1.95,1,4,5,80.67,20,2
Mol_01806,"8beta-hydroxy-1-oxo-eudesm-4-en-6alpha,7beta,11betaH-12,6-olide",O[C@H]1C[C@@]2(C)C(=O)CCC(=C2[C@@H]2[C@@H]1[C@H](C)C(=O)O2)C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,264.32,1.61,1,4,0,63.6,19,3
Mol_01807,"(2R*,3R*,4R*)-menth-1(7)-en-2,3-diol",CC([C@H]1CCC(=C)[C@H]([C@@H]1O)O)C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,170.25,1.33,2,2,1,40.46,12,1
Mol_01808,artemin,O=C1O[C@H]2[C@H]([C@@H]1C)CC[C@@]1([C@]2(O)C(=C)CC[C@H]1O)C,Artemisia hugueti,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,266.34,1.41,2,4,0,66.76,19,3
Mol_01811,artemisin,O[C@H]1C[C@@]2(C)C=CC(=O)C(=C2[C@@H]2[C@@H]1[C@H](C)C(=O)O2)C,Artemisia ifranensis,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,262.3,1.39,1,4,0,63.6,19,3
Mol_01812,brevifolin,COc1cc(OC)cc(c1C(=O)C)O,Artemisia ifranensis,Africa,multiple,antibacterial,1,phenolic,,ANPDB,10.1016/0031-9422(94)85083-6 || 10.1016/S0031-9422(00)97082-1,class_inference,,,,196.2,1.61,1,4,3,55.76,14,1
Mol_01816,"1alpha-hydroxyeudesm-4-en-6beta,11betaH-12,6-olide",O=C1O[C@H]2[C@H]([C@@H]1C)CC[C@@]1(C2=C(C)CC[C@@H]1O)C,Artemisia ifranensis,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,250.34,2.44,1,3,0,46.53,18,3
Mol_01817,"1alpha,4alpha,5alpha-trihydoxyeudesm-6beta,11betaH-12,6-olide",C[C@@H]1C(=O)O[C@H]2[C@H]1CC[C@@]1([C@]2(O)[C@@](C)(O)CC[C@@H]1O)C,Artemisia ifranensis,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,284.35,0.6,3,5,0,86.99,20,3
Mol_01818,"1alpha,5alpha-dihydoxyeudesm-4(15)-en-6beta,11betaH-12,6-olide",O=C1O[C@H]2[C@H]([C@@H]1C)CC[C@@]1([C@]2(O)C(=C)CC[C@@H]1O)C,Artemisia ifranensis,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,266.34,1.41,2,4,0,66.76,19,3
Mol_01820,"1alpha,5alpha-dihydroxyeudesm-3-en-6beta,11betaH-12,6-olide",O=C1O[C@H]2[C@H]([C@@H]1C)CC[C@@]1([C@]2(O)C(=CC[C@@H]1O)C)C,Artemisia ifranensis,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(94)85083-6,class_inference,,,,266.34,1.41,2,4,0,66.76,19,3
Mol_01825,1-epi-erivanin,O[C@@H]1C[C@@H](O)[C@]2([C@H](C1=C)[C@H]1OC(=O)[C@H]([C@@H]1CC2)C)C,Artemisia judaica,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(88)80287-5,class_inference,,,,266.34,1.26,2,4,0,66.76,19,3
Mol_01826,1-epi-isoerivanin,C[C@@H]1C(=O)O[C@H]2[C@H]1CC[C@@]1(C2=C(C)[C@@H](C[C@H]1O)O)C,Artemisia judaica,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(88)80287-5,class_inference,,,,266.34,1.41,2,4,0,66.76,19,3
Mol_01827,13-O-desacetyl eudesma-afraglaucolide,OCC1=C2CC[C@@]3([C@@H]([C@H]2OC1=O)C(=C)[C@H](C[C@H]3O)OC(=O)C)C,Artemisia judaica,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(88)80287-5,class_inference,,,,322.36,0.87,2,6,2,93.06,23,3
Mol_01828,13-O-desacetyl-1alpha-hydroxy-afraglaucolide,OCC1=C2CCC(=C)[C@@H](O)C[C@@H](/C(=C/[C@H]2OC1=O)/C)OC(=O)C,Artemisia judaica,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(88)80287-5,class_inference,,,,322.36,1.18,2,6,2,93.06,23,2
Mol_01829,13-O-desacetyl-1beta-hydroxy-afraglaucolide,OCC1=C2CCC(=C)[C@H](O)C[C@@H](/C(=C/[C@H]2OC1=O)/C)OC(=O)C,Artemisia judaica,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(83)83031-3 || 10.1016/0031-9422(88)80287-5,class_inference,,,,322.36,1.18,2,6,2,93.06,23,2
Mol_01830,13-O-desacetyl-1beta-hydroxy-isoafraglaucolide,OCC1=C2C/C=C(\C)/[C@@H](O)C[C@@H](/C(=C/[C@H]2OC1=O)/C)OC(=O)C,Artemisia judaica,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(88)80287-5,class_inference,,,,322.36,1.18,2,6,2,93.06,23,2
Mol_01831,seco-isoerivanin pseudo acid,C[C@@H]1C(=O)O[C@H]2[C@H]1CC[C@@]1(C2=C(C)C(=O)O[C@@]1(C)O)C,Artemisia judaica,Africa,multiple,antibacterial,1,terpenoid,,ANPDB,10.1016/0031-9422(88)80287-5,class_inference,,,,280.32,1.55,1,5,0,72.83,20,3
Mol_01839,santin,COc1ccc(cc1)c1oc2cc(O)c(c(c2c(=O)c1OC)O)OC,Achillea ligustica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:12789127,class_inference,,,,344.32,2.9,2,7,4,98.36,25,3
Mol_01846,quercetin 7-O-beta-D-glucoside,OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(c(c3=O)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Asteriscus graveolens,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:23962320,class_inference,,,,464.38,-0.54,8,12,4,210.51,33,4
Mol_01852,apigenin 7-glucuronide,OC(=O)C1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(cc2)O)C([C@H]([C@@H]1O)O)O,Artemisia judaica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/0031-9422(83)83031-3 || 10.1016/S0031-9422(00)84593-8,class_inference,,,,446.36,0.14,6,10,4,187.12,32,4
Mol_01853,apigenin 4'-glucoside,OC[C@H]1O[C@@H](Oc2ccc(cc2)c2cc(=O)c3c(o2)cc(cc3O)O)[C@@H]([C@H]([C@@H]1O)O)O,Artemisia judaica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/S0031-9422(00)84593-8 || 10.1016/j.bse.2010.04.004,class_inference,,,,432.38,0.05,6,10,4,170.05,31,4
Mol_01855,apigenin 7-diglucuronide,OC(=O)[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O)O,Artemisia judaica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/S0031-9422(00)84593-8,class_inference,,,,622.49,-1.94,9,15,7,283.34,44,5
Mol_01856,apigenin 7-rutinoside,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(cc1)O,Adenocarpus anagyrifolius,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:10820798,class_inference,,,,578.52,-1.1,8,14,6,228.97,41,5
Mol_01857,chrysoeriol 7-glucoside,OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(c(c2)OC)O)[C@@H]([C@H]([C@@H]1O)O)O,Acacia sieberiana,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:11117884,class_inference,,,,462.41,0.06,6,11,5,179.28,33,4
Mol_01858,chrysoeriol 7-glucuronide,COc1cc(ccc1O)c1cc(=O)c2c(o1)cc(cc2O)O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O)O,Ajuga iva,Africa,multiple,unverified,0,flavonoid || steroid,,ANPDB,10.1016/0031-9422(83)80044-2 || 10.1016/S0031-9422(00)84593-8 || 10.1016/S0031-9422(00)97527-7,class_inference,,,,476.39,0.15,6,11,5,196.35,34,4
Mol_01859,chrysoeriol 4'-glucoside,OC[C@H]1OC(Oc2ccc(cc2OC)c2cc(=O)c3c(o2)cc(cc3O)O)[C@@H]([C@H]([C@@H]1O)O)O,Adenocarpus anagyrifolius,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/S0031-9422(00)84593-8 || 10.1016/j.bse.2011.12.023,class_inference,,,,462.41,0.06,6,11,5,179.28,33,4
Mol_01860,chrysoeriol 7-gentiobioside,OC[C@@H]1O[C@H](CO[C@H]2O[C@@H](Oc3cc(O)c4c(c3)oc(cc4=O)c3ccc(c(c3)OC)O)[C@@H]([C@H]([C@@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O,Artemisia judaica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/S0031-9422(00)84593-8,class_inference,,,,624.55,-2.12,9,16,8,258.43,44,5
Mol_01861,chrysoeriol 7-diglucuronide,COc1c(O[C@H]2OC(C(=O)O)[C@@H]([C@H]([C@@H]2O[C@H]2OC(C(=O)O)[C@@H]([C@H]([C@@H]2O)O)O)O)O)cc2c(c1O)c(=O)c(c(o2)c1ccc(c(c1)OC)O)O,Artemisia judaica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/S0031-9422(00)84593-8,class_inference,,,,698.54,-2.22,10,18,9,322.03,49,5
Mol_01862,chrysoeriol 7-rutinoside,COc1c(O[C@H]2O[C@@H](CO[C@@H]3O[C@@H](C)[C@@H]([C@H]([C@H]3O)O)O)[C@@H]([C@H]([C@@H]2O)O)O)cc2c(c1O)c(=O)c(c(o2)c1ccc(c(c1)OC)O)O,Artemisia judaica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/S0031-9422(00)84593-8,class_inference,,,,654.57,-1.38,9,17,8,267.66,46,5
Mol_01863,"chrysoeriol 7,3'-diglucoside",OC[C@H]1OC(Oc2cc3oc(c4ccc(c(c4)OC)O)c(c(=O)c3c(c2OC)O)OC2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Artemisia judaica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/S0031-9422(00)84593-8,class_inference,,,,670.57,-2.75,10,18,9,287.89,47,5
Mol_01864,luteolin 3'-glucoside,OC[C@H]1O[C@@H](Oc2cc(ccc2O)c2cc(=O)c3c(o2)cc(cc3O)O)[C@@H]([C@H]([C@@H]1O)O)O,Artemisia judaica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/S0031-9422(00)84593-8 || 10.1016/j.phytol.2013.06.009,class_inference,,,,448.38,-0.24,7,11,4,190.28,32,4
Mol_01865,luteolin 4'-glucoside,OC[C@H]1O[C@@H](Oc2ccc(cc2O)c2cc(=O)c3c(o2)cc(cc3O)O)[C@@H]([C@H]([C@@H]1O)O)O,Adenocarpus anagyrifolius,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/S0031-9422(00)84593-8 || 10.1016/j.bse.2011.12.023 || http://www.acgpubs.org/RNP/2015/Volume9/Issue%201/71-RNP-1410-203.pdf,class_inference,,,,448.38,-0.24,7,11,4,190.28,32,4
Mol_01866,luteolin 7-gentiobioside,OCC1O[C@@H](OCC2O[C@@H](Oc3cc(O)c4c(c3)oc(cc4=O)c3ccc(c(c3)O)O)C([C@H]([C@@H]2O)O)O)C([C@H]([C@H]1O)O)O,Artemisia judaica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/0031-9422(83)80189-7 || 10.1016/S0031-9422(00)84593-8,class_inference,,,,610.52,-2.42,10,16,7,269.43,43,5
Mol_01867,"luteolin 7,3'-diglucoside",OCC1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(c(c2)O[C@@H]2OC(CO)[C@H]([C@@H](C2O)O)O)O)C([C@H]([C@@H]1O)O)O,Artemisia judaica,Africa,multiple,antibacterial,1,flavonoid,,ANPDB,10.1016/0031-9422(83)80189-7 || 10.1016/S0031-9422(00)84593-8,class_inference,,,,610.52,-2.77,10,16,7,269.43,43,5
